course,coursename
"CSC 000","Bogus Course"
"EDU 571","PD: Teaching Reading & Writing to Students with Limited English Proficiency"
"EDU 591","Nature & Needs of the Gifted & Talented"
"EDU 592","Curriculum & Instruction for the Gifted & Talented"
"EDU 593","Advanced Curriculum Practices for Gifted & Talented Students"
"EDU 594","Special Topics in Gifted Education"
"PLP 700","Leadership Theory & Identification"
"PLP 701","Introduction to Community Advocacy"
"PLP 721","Community Mental Health Issues"
